Word,POS,Synonym,Antonym
belief,noun,content (generic term),unbelief 
civil,adjective,civic,uncivil
existence,noun,being,nonexistence
failure,noun,fortune (generic term),success
living,noun,animation,dead
wanted,adjective,cherished,unwanted
charge,verb,accuse,calm
effective,adjective,efficient,ineffective 
left,adjective,left-hand (similar term),center
note,verb,observe,ignore 
perfectly,adverb,imperfectly (antonym),imperfectly 
significant,adjective,important,insignificant 
angry,adjective,aggravated (similar term),unangry 
bar,verb,fasten (generic term),unbar 
progress,verb,come on,recede
tired,adjective,all in (similar term),rested
turned,adjective,inverted (similar term),unturned 
welfare,noun,wellbeing,ill-being 
youth,noun,maturity (generic term),aged
concern,noun,worry,unconcern
glad,adjective,happy,sad
legal,adjective,collection,illegal
possibility,noun,possible action,impossibility 
remember,verb,commend,forget 
stuff,verb,fill (generic term),unstuff 
tall,adjective,grandiloquent,short
alive,adjective,animated,unanimated 
confidence,noun,trust,diffidence
somewhat,adverb,slightly,immoderately
addition,noun,accession,subtraction
difficulty,noun,condition (generic term),ease
proper,adjective,becoming (similar term),improper 
scientific,adjective,technological (similar term),unscientific 
show,verb,read,hide 
analysis,noun,investigation (generic term),synthesis
middle,adjective,late (antonym),late
sick,adjective,disgusted,well 
unable,adjective,able (antonym),able 
actual,adjective,real (similar term),de jure
awful,adjective,amazing,nice
odd,adjective,unusual (similar term),even 
record,verb,commemorate,erase
supply,noun,indefinite quantity (generic term),demand 
birth,noun,beginning (generic term),death 
immediate,adjective,direct (similar term),mediate 
respect,noun,esteem,disesteem 
uncle,noun,benefactor (generic term),aunt 
agreement,noun,understanding,disagreement 
frequently,adverb,often,rarely
intelligence,noun,ability (generic term),stupidity 
wealth,noun,property (generic term),poverty
active,adjective,progressive (similar term),inactive
appearance,noun,happening (generic term),disappearance
careful,adjective,blow-by-blow (similar term),careless 
flat,adjective,monotone,natural
hope,noun,feeling (generic term),despair
poverty,noun,poorness,wealth 
ask,verb,demand (generic term),obviate 
association,noun,group (generic term),disassociation
below,adverb,at a lower place,above 
function,verb,officiate,malfunction 
live,adjective,unrecorded,dead 
badly,adverb,mischievously,advantageously
beauty,noun,appearance (generic term),ugliness 
married,adjective,joined (similar term),unmarried 
mental,adjective,genial,physical
move,verb,go,stand still
quietly,adverb,softly,noisily
run,verb,travel (generic term),malfunction 
technical,adjective,commercial (similar term),nontechnical
capable,adjective,open,incapable 
darkness,noun,dark,light 
employment,noun,employ,unemployment
formal,adjective,ceremonial (similar term),informal
necessarily,adverb,inevitably,unnecessarily
rapidly,adverb,quickly,slowly 
second,adjective,intermediate (similar term),first 
northern,adjective,blue (similar term),southern 
transport,verb,carry,disenchant 
being,noun,beingness,nonbeing
capacity,noun,capability,incapacity 
falling,adjective,down (similar term),rising 
reasonable,adjective,sane,unreasonable 
sudden,adjective,abrupt (similar term),gradual 
adult,noun,animal (generic term),juvenile 
curious,adjective,inquisitive (similar term),incurious 
guilty,adjective,at fault (similar term),innocent 
increase,noun,change (generic term),decrease 
properly,adverb,by rights,improperly 
proportion,noun,proportionality,disproportion 
background,verb,play down,foreground
cash,noun,Cash,credit
competition,noun,contest,cooperation
enemy,noun,foe,friend
friendly,adjective,affable (similar term),unfriendly 
general,adjective,broad (similar term),specific 
queen,noun,queen mole rat,male monarch
square,adjective,hearty,round 
strike,verb,hit,miss
bloody,adjective,bally,bloodless
extraordinary,adjective,bonzer (similar term),ordinary 
heavily,adverb,heavy,lightly
altogether,adverb,all told,partly
concept,noun,conception,misconception
domestic,adjective,housing,undomestic 
emotional,adjective,cerebral (antonym),unemotional
individual,adjective,private,common 
lucky,adjective,fortunate (similar term),unlucky 
most,adjective,fewest (antonym),fewest 
notice,verb,acknowledge,ignore 
start,noun,beginning (generic term),middle
weak,adjective,anemic (similar term),strong
appeal,verb,challenge (generic term),repel 
attractive,adjective,appealing (similar term),unattractive
changed,adjective,altered (similar term),unchanged 
conventional,adjective,accepted (similar term),unconventional
fall,verb,shine,increase 
inner,adjective,interior,outer
sad,adjective,bittersweet (similar term),glad 
bring,verb,land,take away
conscious,adjective,witting,unconscious
metal,adjective,metallic,nonmetallic 
north,adjective,northbound (similar term),south 
pleased,adjective,amused (similar term),displeased 
pure,adjective,arrant,impure 
revolutionary,adjective,radical,counterrevolutionary 
rural,adjective,agrarian (similar term),urban 
sleeping,noun,bodily process (generic term),waking 
strongly,adverb,powerfully,weakly 
sufficient,adjective,adequate (similar term),insufficient 
unemployment,noun,state (generic term),employment
urban,adjective,municipality (related term),rural 
comfortable,adjective,comfy,uncomfortable 
critical,adjective,captious (similar term),noncritical
precisely,adverb,exactly,inexactly
rise,verb,lift,sit down
ship,verb,transport,disembark 
south,adjective,southbound (similar term),north
southern,adjective,Confederate (similar term),northern
tone,noun,whole tone,atonicity 
unfortunately,adverb,unluckily,luckily
match,verb,equal,disagree 
typical,adjective,distinctive,atypical 
unlikely,adjective,improbable,likely 
walk,verb,compel (generic term),ride
willing,adjective,consenting (similar term),unwilling
absolute,adjective,arbitrary (similar term),relative
advance,verb,boost,back 
cover,verb,brood,uncover 
driver,noun,device driver,nondriver
internal,adjective,inner,external 
kept,adjective,unbroken,broken 
lost,adjective,cursed (similar term),won
pleasant,adjective,beautiful (similar term),unpleasant 
spoken,adjective,expressed (similar term),written 
talk,verb,lecture,keep quiet
victory,noun,triumph,defeat 
waste,verb,blow,conserve 
cat,verb,vomit,keep down
far,adjective,cold (similar term),near
fixed,adjective,set,unfixed 
rarely,adverb,seldom,often 
above,noun,section (generic term),below
absence,noun,lack (generic term),presence
democratic,adjective,advocate,undemocratic 
green,adjective,fleeceable,ripe
historical,adjective,humanistic discipline,synchronic 
joy,noun,delight,sorrow
round,adjective,circular,square
soil,verb,dirty,clean 
cheap,adjective,chinchy,expensive
distant,adjective,faraway (similar term),close 
genuine,adjective,TRUE,counterfeit 
inevitable,adjective,fatal (similar term),evitable
justice,noun,Department of Justice,injustice
patient,adjective,diligent (similar term),impatient 
violent,adjective,convulsive (similar term),nonviolent 
visible,adjective,available (similar term),invisible 
call,noun,cry,put option
conclusion,noun,ratiocination,beginning
credit,noun,deferred payment,debit 
fault,noun,demerit,merit 
inflation,noun,rising prices,deflation 
permanent,adjective,irreversible (similar term),impermanent
pride,noun,satisfaction (generic term),humility
truly,adverb,in truth,insincerely 
dark,adjective,Acheronian (similar term),light
healthy,adjective,flushed (similar term),unfit 
proud,adjective,arrogant (similar term),humble 
sensible,adjective,perceptible (similar term),unreasonable 
stupid,adjective,anserine (similar term),smart 
trust,verb,sell (generic term),mistrust
claim,verb,take,disclaim 
consciousness,noun,cognitive state (generic term),incognizance
deliberately,adverb,intentionally,accidentally
eastern,adjective,east (similar term),western
guilt,noun,guiltiness,innocence 
honest,adjective,dependable,dishonest 
inquiry,noun,enquiry,answer
personally,adverb,impersonally (antonym),impersonally 
profits,noun,winnings,losings
standard,adjective,modular (similar term),nonstandard 
worker,noun,insect (generic term),nonworker 
connection,noun,connexion,unconnectedness 
efficient,adjective,businesslike (similar term),inefficient 
intense,adjective,acute,mild
moved,adjective,affected,unmoved
open,adjective,closed (antonym),closed
ring,noun,hoop,open chain
west,adjective,westbound (similar term),east 
wire,verb,string (generic term),unwire
worn,adjective,aged (similar term),new
black,adjective,dark (related term),white
comfort,noun,comfortableness,discomfort 
construction,noun,structure,misconstruction
crucial,adjective,all-important,noncrucial
distribution,noun,act (generic term),concentration 
dramatic,adjective,spectacular,lyric 
hungry,adjective,athirst,thirsty
illness,noun,unwellness,wellness
motion,noun,apparent motion,motionlessness 
regularly,adverb,on a regular basis,irregularly
satisfaction,noun,atonement,dissatisfaction
secondary,adjective,alternate (similar term),primary 
surprising,adjective,amazing (similar term),unsurprising 
tight,adjective,binding (similar term),leaky 
tongue,noun,variety meat (generic term),artificial language 
unusual,adjective,different (similar term),usual 
chain,verb,fasten (generic term),unchain 
courage,noun,courageousness,cowardice 
half,adjective,whole (antonym),whole 
heaven,noun,Heaven,Hell
honour,noun,award,dishonor
intelligent,adjective,agile (similar term),unintelligent 
mobility,noun,quality (generic term),immobility 
profit,verb,turn a profit,lose
reputation,noun,report,disrepute 
seldom,adverb,rarely,often
significance,noun,import,insignificance 
substantial,adjective,substantive,insubstantial 
concentration,noun,strengthening (generic term),distribution
dawn,noun,dawning,sunset 
dependent,adjective,babelike (similar term),independent 
east,adjective,eastbound (similar term),west
effectively,adverb,efficaciously,ineffectively
relevant,adjective,applicable (similar term),irrelevant 
sensitive,adjective,delicate (similar term),insensitive 
sentence,noun,string of words (generic term),acquittal 
socialism,noun,socialist economy,capitalism
unknown,adjective,chartless (similar term),known
asleep,adjective,benumbed,awake 
block,verb,jam,remember 
broken,adjective,distributed (similar term),unbroken 
classical,adjective,authoritative,nonclassical
coloured,adjective,bleached,uncolored 
decline,verb,inflect (generic term),better 
delicate,adjective,dainty (similar term),rugged
expansion,noun,enlargement,contraction 
nurse,verb,treat (generic term),bottlefeed 
organized,adjective,arranged (similar term),unorganized 
pollution,noun,befoulment,decontamination 
potential,adjective,expected,actual 
sent,adjective,conveyed (similar term),unsent 
adequate,adjective,adequate to (similar term),inadequate 
aunt,noun,auntie,uncle
begin,verb,lead off,end 
beneath,adverb,below,above
cloud,verb,dull (generic term),clear up 
contract,verb,undertake,expand 
discipline,noun,correction,indiscipline
drive,verb,hit (generic term),attract
efficiency,noun,skillfulness (generic term),inefficiency 
elderly,noun,aged,young 
equality,noun,equivalence,inequality 
fewer,adjective,less (similar term),more 
mark,verb,scar,ignore 
sit,verb,baby-sit,stand
tail,noun,buttocks,head 
volume,noun,book,softness 
acceptable,adjective,accepted,unacceptable 
artificial,adjective,inorganic (similar term),natural 
fat,adjective,abdominous (similar term),thin 
federal,adjective,unitary (antonym),unitary
happen,verb,find,dematerialise
kid,noun,kidskin,parent 
minority,noun,social group (generic term),majority
modest,adjective,retiring (similar term),immodest 
painful,adjective,aching (similar term),painless 
temporary,adjective,impermanent,permanent 
travel,verb,go,stay in place 
wholly,adverb,entirely,partly
approval,noun,blessing,disapproval 
bomb,verb,fail,pass 
competitive,adjective,competitory,noncompetitive
confident,adjective,assured (similar term),unconfident
expenditure,noun,consumption,income 
happiness,noun,felicity,sadness 
hold,verb,take hold,disagree 
logical,adjective,dianoetic (similar term),incoherent 
rational,adjective,coherent (similar term),irrational 
reasonably,adverb,moderately,immoderately
sophisticated,adjective,advanced,naive 
strain,verb,filter,unstrain
tape,verb,videotape,erase 
text,noun,textbook,trade edition 
ultimate,adjective,crowning (similar term),proximate 
unhappy,adjective,homesick (similar term),euphoric
universal,noun,universal joint,particular proposition
burden,verb,burthen,unburden
capitalism,noun,capitalist economy,socialism 
decent,adjective,clean (related term),indecent
despair,noun,feeling (generic term),hope
expected,adjective,anticipated (similar term),unexpected 
external,adjective,international,internal
feature,verb,have,lack
hook,verb,hit (generic term),unhook
hostile,adjective,aggressive (similar term),amicable 
lead,noun,spark advance,deficit
literally,adverb,figuratively (antonym),figuratively 
opened,adjective,open,closed
outer,adjective,outward (similar term),inner 
steadily,adverb,steady,unsteadily
successfully,adverb,with success,unsuccessfully 
sufficiently,adverb,insufficiently (antonym),insufficiently 
young,adjective,immature,old
assembly,noun,machine (generic term),disassembly 
biological,adjective,biologic,adoptive 
break,verb,better,repair 
creative,adjective,constructive (similar term),uncreative 
fortunately,adverb,fortuitously,unluckily
helpful,adjective,accommodating (similar term),unhelpful
incident,adjective,optical phenomenon (related term),basic 
mechanical,adjective,automatic (similar term),nonmechanical 
official,adjective,administrative unit,unofficial 
stick,verb,decorate (generic term),dislodge
triumph,noun,exultation (generic term),defeat 
alliance,noun,bond,nonalignment 
code,verb,tag (generic term),decode
concrete,adjective,factual (similar term),abstract
consequence,noun,import,inconsequence 
consideration,noun,circumstance,thoughtlessness
conviction,noun,strong belief,acquittal 
cooperation,noun,group action (generic term),competition
dominant,adjective,ascendant (similar term),subordinate 
elegant,adjective,dandified (similar term),inelegant 
employer,noun,leader (generic term),employee
evil,adjective,atrocious (similar term),good 
evolution,noun,development,devolution 
flora,noun,plant,fauna
generous,adjective,big (similar term),stingy 
happily,adverb,merrily,unhappily 
improvement,noun,melioration,decline 
paid,adjective,cashed (similar term),unpaid 
pregnant,adjective,big (similar term),nonpregnant 
softly,adverb,lightly,forte 
accept,verb,consent,refuse 
appear,verb,look,disappear 
awareness,noun,consciousness,incognizance
convenient,adjective,handy (similar term),incommodious 
depression,noun,low,natural elevation 
drop,verb,remove (generic term),recuperate
encouraging,adjective,exhortative (similar term),discouraging 
extension,noun,elongation,flexion
frozen,adjective,unmelted (similar term),unfrozen
grateful,adjective,pleasant (similar term),ungrateful 
hunger,verb,starve,be full
impressive,adjective,amazing (similar term),unimpressive 
invisible,adjective,unseeable,conspicuous
mild,adjective,meek,intense 
mutual,adjective,reciprocal,nonreciprocal 
necessity,noun,need (generic term),inessential 
payment,noun,cost (generic term),nonpayment 
precise,adjective,accurate,imprecise 
rigid,adjective,inflexible,nonrigid 
stretch,verb,elongate,shrink
tide,verb,float (generic term),ebb
vague,adjective,dim,defined 
white,adjective,albescent (similar term),black
wisdom,noun,wiseness,folly
acceptance,noun,toleration,rejection 
closing,adjective,concluding (similar term),opening
collective,adjective,corporate,distributive 
continued,adjective,continuing (similar term),discontinued 
crowded,adjective,huddled (similar term),uncrowded
delight,verb,please,disenchant
eager,adjective,anxious (similar term),uneager 
ease,noun,comfort,difficulty
excited,adjective,aroused,unexcited
illegal,adjective,amerciable (similar term),legal
intensity,noun,saturation,softness
involvement,noun,interest,non-involvement
loud,adjective,big (similar term),soft
marked,adjective,pronounced,unmarked 
nasty,adjective,awful,nice 
pay,verb,be (generic term),default 
primarily,adverb,in the first place,secondarily 
release,verb,free,confine 
shame,verb,arouse (generic term),honor 
stand,verb,stay (generic term),yield 
sympathetic,adjective,nervous system,unsympathetic 
ugly,adjective,despicable,beautiful 
vegetable,adjective,banana-like (similar term),mineral
virtue,noun,chastity,demerit 
allow,verb,leave,deny 
ashamed,adjective,discredited (similar term),unashamed 
continue,verb,be (generic term),discontinue 
cross,verb,intersect,uncross
definite,adjective,certain (similar term),indefinite 
distinct,adjective,chiseled (similar term),indistinct 
dying,adjective,anxious,nascent 
follow,verb,watch,predate 
inadequate,adjective,deficient (similar term),adequate
laugh,verb,express joy,cry
lightly,adverb,light,heavily
major,adjective,leading (similar term),minor 
middle-class,adjective,bourgeois (similar term),upper-class
minimum,adjective,minimal,maximum
rear,noun,formation (generic term),front 
remain,verb,be (generic term),change 
sacred,adjective,consecrated,profane 
specifically,adverb,generally (antonym),generally 
string,verb,string up,unstring
studio,noun,workplace (generic term),location 
subsequent,adjective,consequent (similar term),antecedent 
unexpected,adjective,forced,expected 
unfortunate,adjective,abject (similar term),fortunate 
uniform,adjective,undifferentiated,differentiated
vulnerable,adjective,assailable (similar term),invulnerable
worst,adjective,bottom (similar term),best
accurate,adjective,close (similar term),inaccurate
add,verb,increase (generic term),subtract
aggressive,adjective,assertive (similar term),unaggressive 
bull,noun,Taurus,bear
cast,verb,vomit,keep down
check,verb,stop (generic term),disagree
defeat,noun,frustration,victory 
developed,adjective,formed (similar term),undeveloped 
equivalent,adjective,like,unlike 
go,adjective,a-ok (similar term),no-go 
grace,noun,grace of God,unseemliness 
hatred,noun,hate,love
host,noun,recipient (generic term),parasite 
involved,adjective,active (similar term),uninvolved
polite,adjective,mannerly (similar term),uncivil 
reduction,noun,decrease,increase
root,noun,plant organ (generic term),descendant
sadly,adverb,deplorably,happily
satisfactory,adjective,acceptable,unsatisfactory
stop,verb,stop over,continue
uncomfortable,adjective,awkward (similar term),comfortable 
unnecessary,adjective,unneeded,necessary
unpleasant,adjective,acerb (similar term),pleasant
useless,adjective,futile (similar term),useful 
weakness,noun,property (generic term),strength
accustomed,adjective,customary,unaccustomed
agree,verb,match,disagree 
awkward,adjective,clumsy,graceful
backwards,adverb,back,forward 
belt,verb,hit (generic term),unbelt
breathing,adjective,eupneic,breathless
characteristic,adjective,diagnostic (similar term),uncharacteristic
comprehensive,adjective,across-the-board (similar term),noncomprehensive 
continuous,adjective,uninterrupted,discontinuous 
fashionable,adjective,stylish,unfashionable
focus,verb,concenter,blur
foolish,adjective,absurd (similar term),wise 
grant,verb,award,deny 
identical,adjective,monovular,fraternal
liked,adjective,likable (similar term),disliked 
link,noun,nexus,disconnectedness 
literacy,noun,skill (generic term),illiteracy 
lose,verb,keep (antonym),gain 
losses,noun,losings,winnings 
offence,noun,discourtesy,defence
opening,adjective,beginning (similar term),closing
participation,noun,engagement,non-involvement
pass,adjective,passing,running 
peaceful,adjective,halcyon (similar term),unpeaceful 
productivity,noun,productiveness,unproductiveness
profound,adjective,deep (similar term),superficial
separation,noun,legal separation,union
specialist,noun,medical specialist,generalist 
strict,adjective,rigorous,indulgent
upwards,adverb,up,downwardly
avoid,verb,confront (antonym),confront
blow,verb,burst (generic term),conserve
commonly,adverb,normally,remarkably
crude,adjective,raw,refined
cry,verb,change (generic term),laugh
current,adjective,actual (similar term),noncurrent
desirable,adjective,coveted (similar term),undesirable
embarrassment,noun,overplus,disembarrassment 
forget,verb,bury,remember 
incredible,adjective,unbelievable,credible 
licence,verb,license,decertify
lift,verb,remove (generic term),lower
loan,verb,lend,borrow
officially,adverb,formally,unofficially 
preparation,noun,planning,resolution 
priority,noun,precedence,posteriority 
regard,noun,respect,inattentiveness
reliable,adjective,authentic,undependable
skilled,adjective,accomplished (similar term),unskilled 
spread,verb,unfold,gather 
suggest,verb,hint,contraindicate 
tie,verb,bind,untie
tragedy,noun,drama (generic term),comedy
aloud,adverb,out loud,softly 
certainty,noun,cognitive state (generic term),uncertainty 
cheerful,adjective,beaming (similar term),cheerless
citizen,noun,national (generic term),noncitizen
cold,adjective,acold (similar term),hot
extensive,adjective,intensive (antonym),intensive
goodness,noun,good,badness
harsh,adjective,unpleasant (similar term),fine
honestly,adverb,candidly,dishonestly 
innocence,noun,purity,guilt
loudly,adverb,loud,piano
loyalty,noun,commitment,disloyalty 
objective,adjective,concrete (similar term),subjective 
parental,adjective,genitor (related term),filial
patience,noun,forbearance,impatience 
prize,verb,pry,disesteem
racial,adjective,group,nonracial 
raised,adjective,brocaded,lowered 
strip,verb,milk (generic term),dress
tackle,verb,harness,unharness 
uncertain,adjective,indefinite (similar term),certain 
conception,noun,concept,misconception
confused,adjective,baffled,clearheaded 
covered,adjective,ariled (similar term),bare 
disarmament,noun,disarming,armament
enjoy,verb,love,suffer
female,adjective,distaff,androgynous
fortunate,adjective,better off (similar term),unfortunate 
indication,noun,reading,contraindication 
irrelevant,adjective,digressive (similar term),relevant 
liquid,adjective,limpid,gaseous
location,noun,workplace (generic term),studio
noticed,adjective,detected (similar term),unnoticed 
opponent,noun,opposition,agonist
realistic,adjective,down-to-earth (similar term),unrealistic 
requirement,noun,necessity,inessential 
respectable,adjective,decent (similar term),unrespectable 
ride,verb,climb (generic term),walk 
running,adjective,gushing (similar term),standing 
significantly,adverb,importantly,insignificantly 
sunshine,noun,sunlight,uncheerfulness
theoretical,adjective,theoretic,applied
uneasy,adjective,anxious,easy 
unfair,adjective,partial,impartial 
wicked,adjective,sinful,virtuous
